V1,V2
-118.3962275,33.932981
-118.6765264,34.0376085
-118.7948143,34.020764
-121.7906518,36.9203354
-121.8930094,36.9751755
-121.9949401,36.9882354
-118.4528311,33.9941128
-117.9039018,33.616736
-118.189483,33.7898607
-118.3798945,33.81655
-118.294257,33.790933
-122.4860129,37.8415536
-122.4710192,37.6870713
-122.4772578,37.763567
-122.4348653,37.4716786
-122.3982514,37.3543871
-122.3833844,37.1836638
-122.3118393,37.1299304
-122.515598,37.5432421
-122.408738,37.2736507
-121.3481839,35.8009597
-121.79565,36.2642315
-121.5904487,36.0580524
-121.8819696,36.5883277
-121.9091958,36.4029827
-121.720787,36.199886
-121.7920904,36.7212445
-121.4465731,35.8766945
-121.7844012,36.8213704
-121.885582,36.332208
-121.654753,36.143117
-121.937214,36.500065
-121.4949183,35.9900885
-121.814742,36.650943
-120.570569,34.982561
-120.6727015,35.2708309
-120.8872959,35.4372809
-121.282923,35.674435
-120.82694,35.36488
-120.6454261,35.1465994
-120.5969474,35.0640157
-121.016095,35.503504
-122.1016298,36.9629617
-122.1866101,37.0067283
-120.730427,35.329142
-121.1239122,35.5909517
-122.2520326,37.0621075
-121.1927947,35.6467975
-119.3817883,34.3201033
-119.1144135,34.1492516
-119.0634148,34.0887102
-118.950557,34.0485556
-122.7301433,37.9724367
-122.637248,37.8978409
-117.752012,33.5107317
-117.8260013,33.5642249
-118.5376184,34.0367434
-118.0629472,33.7115827
-120.2284845,34.5106487
-120.455955,34.638895
-120.445432,34.806254
-120.354785,34.54253
-120.533086,34.902935
-120.488621,34.71164
-122.4857783,37.615455
-117.9878527,33.6482308
